objectType,theta,positionX,positionY,positionZ,objectParameter1,objectParameter2,objectParameter3,objectParameter4
icoSphere,0,-135.0,-150.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-120.0,-150.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-105.0,-150.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-90.0,-150.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-75.0,-150.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-60.0,-150.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-45.0,-150.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-30.0,-150.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-15.0,-150.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,0.0,-150.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,15.0,-150.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,30.0,-150.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,45.0,-150.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,60.0,-150.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,75.0,-150.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,90.0,-150.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,105.0,-150.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,120.0,-150.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,135.0,-150.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,150.0,-150.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-150.0,-135.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-135.0,-135.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-120.0,-135.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-105.0,-135.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-90.0,-135.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-75.0,-135.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-60.0,-135.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-45.0,-135.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-30.0,-135.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-15.0,-135.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,0.0,-135.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,15.0,-135.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,30.0,-135.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,45.0,-135.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,60.0,-135.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,75.0,-135.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,90.0,-135.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,105.0,-135.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,120.0,-135.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,135.0,-135.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,150.0,-135.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-150.0,-120.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-135.0,-120.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-120.0,-120.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-105.0,-120.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-90.0,-120.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-75.0,-120.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-60.0,-120.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-45.0,-120.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-30.0,-120.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-15.0,-120.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,0.0,-120.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,15.0,-120.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,30.0,-120.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,45.0,-120.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,60.0,-120.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,75.0,-120.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,90.0,-120.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,105.0,-120.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,120.0,-120.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,135.0,-120.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,150.0,-120.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-150.0,-105.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-135.0,-105.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-120.0,-105.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-105.0,-105.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-90.0,-105.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-75.0,-105.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-60.0,-105.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-45.0,-105.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-30.0,-105.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-15.0,-105.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,0.0,-105.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,15.0,-105.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,30.0,-105.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,45.0,-105.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,60.0,-105.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,75.0,-105.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,90.0,-105.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,105.0,-105.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,120.0,-105.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,135.0,-105.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,150.0,-105.0,-150.0,1,0.1,0.1,0.1
icoSphere,0,-150.0,-90.0,-150.0,1,0.1,0.1,0.1
