objectType,theta,positionX,positionY,positionZ,objectParameter1,objectParameter2,objectParameter3,objectParameter4
icoSphere,1,-135.0,-135.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,-135.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,-135.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,0.0,-135.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,45.0,-135.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,90.0,-135.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,135.0,-135.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,-90.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,-90.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,-90.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,0.0,-90.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,45.0,-90.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,90.0,-90.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,135.0,-90.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,-45.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,-45.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,-45.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,0.0,-45.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,45.0,-45.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,90.0,-45.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,135.0,-45.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,0.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,0.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,0.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,0.0,0.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,45.0,0.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,90.0,0.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,135.0,0.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,45.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,45.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,45.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,0.0,45.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,45.0,45.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,90.0,45.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,135.0,45.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,90.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,90.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,90.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,0.0,90.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,45.0,90.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,90.0,90.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,135.0,90.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,135.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,135.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,135.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,0.0,135.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,45.0,135.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,90.0,135.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,135.0,135.0,-135.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,-135.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,-135.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,-135.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,0.0,-135.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,45.0,-135.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,90.0,-135.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,135.0,-135.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,-90.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,-90.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,-90.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,0.0,-90.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,45.0,-90.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,90.0,-90.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,135.0,-90.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,-45.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,-45.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,-45.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,0.0,-45.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,45.0,-45.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,90.0,-45.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,135.0,-45.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,0.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,0.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,0.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,0.0,0.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,45.0,0.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,90.0,0.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,135.0,0.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,45.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,45.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,45.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,0.0,45.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,45.0,45.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,90.0,45.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,135.0,45.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,90.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,90.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,90.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,0.0,90.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,45.0,90.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,90.0,90.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,135.0,90.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,135.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,135.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,135.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,0.0,135.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,45.0,135.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,90.0,135.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,135.0,135.0,-90.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,-135.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,-135.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,-135.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,0.0,-135.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,45.0,-135.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,90.0,-135.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,135.0,-135.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,-90.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,-90.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,-90.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,0.0,-90.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,45.0,-90.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,90.0,-90.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,135.0,-90.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,-45.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,-45.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,-45.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,0.0,-45.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,45.0,-45.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,90.0,-45.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,135.0,-45.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,0.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,0.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,0.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,0.0,0.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,45.0,0.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,90.0,0.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,135.0,0.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,45.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,45.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,45.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,0.0,45.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,45.0,45.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,90.0,45.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,135.0,45.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,90.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,90.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,90.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,0.0,90.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,45.0,90.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,90.0,90.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,135.0,90.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,135.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,135.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,135.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,0.0,135.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,45.0,135.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,90.0,135.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,135.0,135.0,-45.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,-135.0,0.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,-135.0,0.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,-135.0,0.0,1,0.1,0.1,0.1
icoSphere,1,0.0,-135.0,0.0,1,0.1,0.1,0.1
icoSphere,1,45.0,-135.0,0.0,1,0.1,0.1,0.1
icoSphere,1,90.0,-135.0,0.0,1,0.1,0.1,0.1
icoSphere,1,135.0,-135.0,0.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,-90.0,0.0,1,0.1,0.1,0.1
icoSphere,1,-90.0,-90.0,0.0,1,0.1,0.1,0.1
icoSphere,1,-45.0,-90.0,0.0,1,0.1,0.1,0.1
icoSphere,1,0.0,-90.0,0.0,1,0.1,0.1,0.1
icoSphere,1,45.0,-90.0,0.0,1,0.1,0.1,0.1
icoSphere,1,90.0,-90.0,0.0,1,0.1,0.1,0.1
icoSphere,1,135.0,-90.0,0.0,1,0.1,0.1,0.1
icoSphere,1,-135.0,-45.0,0.0,1,0.1,0.1,0.1
